ts,GC=F,GLD,IEF,TLT,TIP,SHY,BIL,UUP,EURUSD=X,JPY=X,CNY=X,CL=F,HG=F,DBC,ES=F,NQ=F,RTY=F,BTC-USD,HYG,JNK,LQD,^VIX,^VVIX,^MOVE,FXI,KWEB,EWJ,SPY,QQQ,IWM
2026-05-25T11:45:00,,,,,,,,,1.164686679840088,158.93099975585938,6.784200191497803,,,,,,,77284.1328125,,,,16.639999389648438,,,,,,,,
2026-05-25T12:00:00,,,,,,,,,1.164958119392395,158.89700317382812,6.784200191497803,,,,,,,77286.6796875,,,,16.639999389648438,,,,,,,,
2026-05-25T12:15:00,,,,,,,,,1.164686679840088,158.9149932861328,6.784200191497803,,,,,,,77323.171875,,,,16.59000015258789,,,,,,,,
2026-05-25T12:30:00,,,,,,,,,1.1653653383255005,158.88400268554688,6.784200191497803,,,,,,,77285.0390625,,,,16.610000610351562,,,,,,,,
2026-05-25T12:45:00,,,,,,,,,1.165229558944702,158.89700317382812,6.784200191497803,,,,,,,77282.0,,,,16.6200008392334,,,,,,,,
2026-05-25T13:00:00,,,,,,,,,1.1650937795639038,158.89100646972656,6.784200191497803,,,,,,,77254.4375,,,,16.6299991607666,,,,,,,,
2026-05-25T13:15:00,,,,,,,,,1.164822340011597,158.91200256347656,6.784200191497803,,,,,,,77253.7109375,,,,16.639999389648438,,,,,,,,
2026-05-25T13:30:00,,,,,,,,,1.1645511388778689,158.90699768066406,6.784200191497803,,,,,,,77281.046875,,,,16.639999389648438,,,,,,,,
2026-05-25T13:45:00,,,,,,,,,1.1642799377441406,158.91299438476562,6.784200191497803,,,,,,,77257.53125,,,,16.6299991607666,,,,,,,,
2026-05-25T14:00:00,,,,,,,,,1.1642799377441406,158.91600036621094,6.784200191497803,,,,,,,77391.9609375,,,,16.68000030517578,,,,,,,,
2026-05-25T14:15:00,,,,,,,,,1.1645511388778689,158.9080047607422,6.784200191497803,,,,,,,77535.4375,,,,16.68000030517578,,,,,,,,
2026-05-25T14:30:00,,,,,,,,,1.164822340011597,158.8939971923828,6.784200191497803,,,,,,,77496.9765625,,,,16.700000762939453,,,,,,,,
2026-05-25T14:45:00,,,,,,,,,1.1645511388778689,158.91700744628906,6.784200191497803,,,,,,,77636.0078125,,,,16.690000534057617,,,,,,,,
2026-05-25T15:00:00,,,,,,,,,1.164822340011597,158.927001953125,6.784200191497803,,,,,,,77632.8984375,,,,16.59000015258789,,,,,,,,
2026-05-25T15:15:00,,,,,,,,,1.164958119392395,158.9010009765625,6.784200191497803,,,,,,,77525.0,,,,16.59000015258789,,,,,,,,
2026-05-25T15:30:00,,,,,,,,,1.164822340011597,158.8979949951172,6.783699989318848,,,,,,,77588.0703125,,,,16.59000015258789,,,,,,,,
2026-05-25T15:45:00,,,,,,,,,1.1645511388778689,158.8979949951172,6.783699989318848,,,,,,,77549.9765625,,,,16.59000015258789,,,,,,,,
2026-05-25T16:00:00,,,,,,,,,1.1642799377441406,158.8939971923828,6.783699989318848,,,,,,,77444.390625,,,,16.59000015258789,,,,,,,,
2026-05-25T16:15:00,,,,,,,,,1.1641442775726318,158.91200256347656,6.783699989318848,,,,,,,77513.7109375,,,,16.59000015258789,,,,,,,,
2026-05-25T16:30:00,,,,,,,,,1.1642799377441406,158.90899658203125,6.783699989318848,,,,,,,77610.96875,,,,16.59000015258789,,,,,,,,
2026-05-25T16:45:00,,,,,,,,,1.16441547870636,158.88800048828125,6.783699989318848,,,,,,,77663.15625,,,,16.59000015258789,,,,,,,,
2026-05-25T17:00:00,,,,,,,,,1.1645511388778689,158.9040069580078,6.783699989318848,,,,,,,77612.2421875,,,,16.59000015258789,,,,,,,,
2026-05-25T17:15:00,,,,,,,,,1.164686679840088,158.88900756835938,6.783699989318848,,,,,,,77586.40625,,,,16.59000015258789,,,,,,,,
2026-05-25T17:30:00,,,,,,,,,1.164686679840088,158.89199829101562,6.783699989318848,,,,,,,77512.1875,,,,16.59000015258789,,,,,,,,
2026-05-25T17:45:00,,,,,,,,,1.164686679840088,158.8939971923828,6.783699989318848,,,,,,,77490.0078125,,,,16.59000015258789,,,,,,,,
